birdsEUPopulation(Dataset1);;;;;;;;
speciescode;speciesname;keywintering;distribution_surface_area;population_minimum_size;population_maximum_size;CRd_list_cat;red_list_cat_prev;taxFamily_en
A158;Numenius phaeopus;N;402000;47100;67700;LC;LC;Sandpipers, snipes and phalaropes
A159;Numenius tenuirostris;Y;-1;0;0;CR;CR;Sandpipers, snipes and phalaropes
A160;Numenius arquata;N;886000;155000;173000;NT;VU;Sandpipers, snipes and phalaropes
A161;Tringa erythropus;N;160000;8900;24500;NT;NT;Sandpipers, snipes and phalaropes
A162;Tringa totanus;N;732000;92300;115000;VU;VU;Sandpipers, snipes and phalaropes
A163;Tringa stagnatilis;N;4900;40;110;VU;EN;Sandpipers, snipes and phalaropes
A164;Tringa nebularia;N;494000;68400;105000;LC;LC;Sandpipers, snipes and phalaropes
A165;Tringa ochropus;N;899000;217000;338000;LC;LC;Sandpipers, snipes and phalaropes
A166;Tringa glareola;N;573000;422000;563000;LC;LC;Sandpipers, snipes and phalaropes
A167;Xenus cinereus;N;800;5;8;CR;CR;Sandpipers, snipes and phalaropes
A168;Actitis hypoleucos;N;1290000;258000;390000;LC;NT;Sandpipers, snipes and phalaropes
A169;Arenaria interpres;N;50600;1400;3400;EN;EN;Sandpipers, snipes and phalaropes
A170;Phalaropus lobatus;N;96400;20000;36100;LC;LC;Sandpipers, snipes and phalaropes
A173;Stercorarius parasiticus;N;56100;1400;2900;EN;EN;Skuas
A174;Stercorarius longicaudus;N;90800;13600;28000;LC;LC;Skuas
A175;Catharacta skua;N;16500;9600;9700;LC;LC;Skuas
A176;Larus melanocephalus;N;51400;16700;25000;LC;LC;Gulls and terns
A179;Larus ridibundus;N;953000;811000;1080000;VU;LC;Gulls and terns
A180;Larus genei;N;7600;5400;8800;LC;LC;Gulls and terns
A181;Larus audouinii;N;36900;15600;20900;VU;LC;Gulls and terns
A182;Larus canus;N;978000;221000;318000;LC;LC;Gulls and terns
A183;Larus fuscus;N;328000;308000;338000;LC;LC;Gulls and terns
A184;Larus argentatus;N;657000;419000;479000;VU;VU;Gulls and terns
A185;Larus glaucoides;Y;-1;380;440;LC;EN;Gulls and terns
A186;Larus hyperboreus;Y;-1;250;330;LC;EN;Gulls and terns
A187;Larus marinus;N;242000;28100;45000;NT;LC;Gulls and terns
A188;Rissa tridactyla;N;31300;207000;294000;EN;EN;Gulls and terns
A189;Gelochelidon nilotica;N;30700;8000;9900;LC;LC;Gulls and terns
A192;Sterna dougallii;N;2000;2400;3100;LC;LC;Gulls and terns
A193;Sterna hirundo;N;882000;120000;190000;LC;LC;Gulls and terns
A194;Sterna paradisaea;N;430000;179000;283000;LC;LC;Gulls and terns
A197;Chlidonias niger;N;67600;11400;17600;LC;LC;Gulls and terns
A198;Chlidonias leucopterus;N;5700;600;6100;LC;LC;Gulls and terns
A199;Uria aalge;N;-1;1650000;1670000;LC;LC;Auks
A200;Alca torda;N;51400;262000;515000;LC;LC;Auks
A202;Cepphus grylle;N;94500;76000;93700;LC;VU;Auks
A203;Alle alle;Y;-1;0;30;EN;EN;Auks
A204;Fratercula arctica;N;16400;601000;602000;LC;NT;Auks
A205;Pterocles alchata;N;19000;7400;9000;LC;LC;Sandgrouse
A206;Columba livia;N;523000;2450000;4740000;LC;LC;Pigeons and doves
A206-X;Columba livia;N;1950000;10300000;18900000;LC;LC;Pigeons and doves
A207;Columba oenas;N;1450000;610000;972000;LC;LC;Pigeons and doves
A208;Columba palumbus;N;3530000;18900000;26000000;LC;LC;Pigeons and doves
A209;Streptopelia decaocto;N;2830000;5990000;14500000;LC;LC;Pigeons and doves
A210;Streptopelia turtur;N;2020000;1980000;3440000;NT;NT;Pigeons and doves
A211;Clamator glandarius;N;141000;144000;152000;VU;LC;Cuckoos
A212;Cuculus canorus;N;3580000;2240000;3650000;LC;LC;Cuckoos
A213;Tyto alba;N;1380000;75900;165000;LC;LC;Barn-owls
A214;Otus scops;N;746000;80900;139000;LC;LC;Typical owls
A215;Bubo bubo;N;1150000;12900;17900;LC;LC;Typical owls
A217;Glaucidium passerinum;N;771000;31000;69700;LC;LC;Typical owls
A218;Athene noctua;N;1350000;191000;299000;LC;LC;Typical owls
A219;Strix aluco;N;2240000;437000;638000;LC;LC;Typical owls
A220;Strix uralensis;N;498000;11900;21000;LC;LC;Typical owls
A221;Asio otus;N;1970000;128000;243000;LC;LC;Typical owls
A222;Asio flammeus;N;3990000;2100;21600;LC;LC;Typical owls
A223;Aegolius funereus;N;924000;17900;123000;LC;LC;Typical owls
A224;Caprimulgus europaeus;N;1230000;172000;325000;LC;LC;Nightjars
A225;Caprimulgus ruficollis;N;57200;101000;135000;NT;LC;Nightjars
A226;Apus apus;N;2980000;12400000;19700000;NT;LC;Swifts
A227;Apus pallidus;N;879000;161000;1100000;LC;LC;Swifts
A228;Tachymarptis melba;N;436000;202000;481000;LC;LC;Swifts
A229;Alcedo atthis;N;1580000;59200;157000;LC;VU;Kingfishers
A230;Merops apiaster;N;805000;3330000;4960000;LC;LC;Bee-eaters
A231;Coracias garrulus;N;275000;13200;22000;LC;LC;Rollers
A232;Upupa epops;N;1360000;1020000;2070000;LC;LC;Hoopoes
A233;Jynx torquilla;N;1800000;300000;591000;LC;LC;Woodpeckers
A234;Picus canus;N;1180000;84700;151000;LC;LC;Woodpeckers
A236;Dryocopus martius;N;1950000;193000;297000;LC;LC;Woodpeckers
A237;Dendrocopos major;N;3200000;4540000;6980000;LC;LC;Woodpeckers
A239;Dendrocopos leucotos;N;254000;28300;67400;LC;LC;Woodpeckers
A241;Picoides tridactylus;N;541000;41700;76100;LC;LC;Woodpeckers
A242;Melanocorypha calandra;N;288000;4230000;6800000;LC;VU;Larks
A243;Calandrella brachydactyla;N;298000;1090000;1710000;LC;LC;Larks
A244;Galerida cristata;N;1090000;14600000;18500000;LC;LC;Larks
A245;Galerida theklae;N;193000;1750000;2850000;LC;LC;Larks
A246;Lullula arborea;N;1760000;1580000;3040000;LC;LC;Larks
A247;Alauda arvensis;N;3040000;23300000;31700000;LC;LC;Larks
A248;Eremophila alpestris;N;15500;2200;4000;NT;NT;Larks
A249;Riparia riparia;N;1460000;1160000;2600000;LC;LC;Swallows and martins
A250;Ptyonoprogne rupestris;N;735000;131000;244000;LC;LC;Swallows and martins
A251;Hirundo rustica;N;3680000;18100000;27500000;LC;LC;Swallows and martins
A255;Anthus campestris;N;8060000;550000;986000;LC;LC;Wagtails and pipits
A256;Anthus trivialis;N;2620000;6900000;11700000;LC;LC;Wagtails and pipits
A257;Anthus pratensis;N;1620000;4940000;7230000;LC;VU;Wagtails and pipits
A258;Anthus cervinus;N;7200;880;1800;EN;LC;Wagtails and pipits
A259;Anthus spinoletta;N;187000;383000;718000;LC;LC;Wagtails and pipits
A260;Motacilla flava;N;2060000;4950000;7540000;LC;LC;Wagtails and pipits
A261;Motacilla cinerea;N;2150000;906000;1790000;LC;LC;Wagtails and pipits
A262;Motacilla alba;N;3610000;6320000;9580000;LC;LC;Wagtails and pipits
A263;Bombycilla garrulus;N;372000;150000;265000;LC;LC;Waxwings
A264;Cinclus cinclus;N;1220000;80800;155000;LC;LC;Dippers
A265;Troglodytes troglodytes;N;3300000;29700000;48400000;LC;LC;Wrens
A266;Prunella modularis;N;2460000;9410000;15400000;LC;LC;Accentors
A267;Prunella collaris;N;133000;48400;84100;LC;LC;Accentors
A268;Cercotrichas galactotes;N;176000;102000;272000;LC;LC;Chats and flycatchers
A269;Erithacus rubecula;N;3510000;36400000;54800000;LC;LC;Chats and flycatchers
A270;Luscinia luscinia;N;537000;447000;698000;VU;LC;Chats and flycatchers
A271;Luscinia megarhynchos;N;1800000;8750000;12700000;LC;LC;Chats and flycatchers
A273;Phoenicurus ochruros;N;2040000;4360000;6940000;LC;LC;Chats and flycatchers
A274;Phoenicurus phoenicurus;N;2270000;2210000;3920000;LC;LC;Chats and flycatchers
A275;Saxicola rubetra;N;1530000;1950000;3020000;VU;LC;Chats and flycatchers
A276;Saxicola torquatus;N;2130000;4890000;7500000;LC;LC;Chats and flycatchers
A277;Oenanthe oenanthe;N;1870000;1880000;3680000;NT;LC;Chats and flycatchers
A278;Oenanthe hispanica;N;371000;451000;1190000;LC;LC;Chats and flycatchers
A279;Oenanthe leucura;N;49600;4000;16100;LC;VU;Chats and flycatchers
A280;Monticola saxatilis;N;191000;21300;38300;LC;LC;Chats and flycatchers
A281;Monticola solitarius;N;434000;43300;89300;LC;LC;Chats and flycatchers
A282;Turdus torquatus;N;310000;135000;210000;LC;LC;Thrushes
A283;Turdus merula;N;3790000;47800000;71400000;LC;LC;Thrushes
A284;Turdus pilaris;N;1480000;3410000;5150000;LC;VU;Thrushes
A285;Turdus philomelos;N;3100000;12200000;20500000;LC;LC;Thrushes
A286;Turdus iliacus;N;898000;1960000;2370000;LC;VU;Thrushes
A287;Turdus viscivorus;N;3780000;2320000;4370000;LC;LC;Thrushes
A288;Cettia cetti;N;749000;1790000;2710000;LC;LC;Warblers
A289;Cisticola juncidis;N;744000;1130000;1830000;LC;LC;Cisticolas
A290;Locustella naevia;N;1140000;318000;564000;VU;LC;Warblers
A291;Locustella fluviatilis;N;469000;153000;288000;VU;VU;Warblers
A292;Locustella luscinioides;N;314000;142000;225000;LC;LC;Warblers
A293;Acrocephalus melanopogon;N;25900;8500;15200;LC;LC;Warblers
A294;Acrocephalus paludicola;N;4100;3200;4800;NT;VU;Warblers
A295;Acrocephalus schoenobaenus;N;1360000;1430000;2160000;LC;LC;Warblers
A296;Acrocephalus palustris;N;1380000;1900000;2880000;LC;LC;Warblers
A297;Acrocephalus scirpaceus;N;1430000;1410000;2420000;LC;LC;Warblers
A298;Acrocephalus arundinaceus;N;744000;775000;1270000;LC;LC;Warblers
A299;Hippolais icterina;N;1130000;1030000;1520000;LC;LC;Warblers
A300;Hippolais polyglotta;N;867000;2130000;3540000;LC;LC;Warblers
A302;Sylvia undata;N;356000;597000;1430000;NT;NT;Warblers
A303;Sylvia conspicillata;N;128000;163000;445000;LC;LC;Warblers
A304;Sylvia cantillans;N;556000;3490000;5230000;LC;LC;Warblers
A305;Sylvia melanocephala;N;813000;6920000;13700000;LC;LC;Warblers
A307;Sylvia nisoria;N;360000;157000;228000;LC;LC;Warblers
A309;Sylvia communis;N;2680000;9170000;14700000;LC;LC;Warblers
A310;Sylvia borin;N;2230000;4810000;8170000;LC;LC;Warblers
A311;Sylvia atricapilla;N;3360000;32800000;51100000;LC;LC;Warblers
A314;Phylloscopus sibilatrix;N;1780000;3060000;4590000;LC;LC;Warblers
A316;Phylloscopus trochilus;N;2280000;24600000;41500000;LC;LC;Warblers
A317;Regulus regulus;N;2340000;10600000;17100000;LC;NT;Goldcrests
A318;Regulus ignicapilla;N;1530000;4440000;7780000;LC;LC;Goldcrests
A319;Muscicapa striata;N;2880000;4290000;8050000;LC;LC;Chats and flycatchers
A320;Ficedula parva;N;497000;217000;540000;LC;LC;Chats and flycatchers
A321;Ficedula albicollis;N;405000;843000;2130000;LC;LC;Chats and flycatchers
A322;Ficedula hypoleuca;N;1460000;2220000;3080000;LC;LC;Chats and flycatchers
A323;Panurus biarmicus;N;200000;104000;164000;LC;LC;Parrotbills
A324;Aegithalos caudatus;N;2920000;5860000;9310000;LC;LC;Long-tailed tits
A330;Parus major;N;4090000;45200000;69300000;LC;LC;Tits
A331;Sitta whiteheadi;N;2400;1500;2200;VU;VU;Nuthatches and wallcreeper
A332;Sitta europaea;N;2710000;6770000;12600000;LC;LC;Nuthatches and wallcreeper
A333;Tichodroma muraria;N;76700;5600;11700;LC;LC;Nuthatches and wallcreeper
A334;Certhia familiaris;N;2040000;3590000;6060000;LC;LC;Treecreepers
A335;Certhia brachydactyla;N;1730000;4770000;7700000;LC;LC;Treecreepers
A336;Remiz pendulinus;N;397000;110000;181000;LC;LC;Penduline-tits
A337;Oriolus oriolus;N;1780000;1970000;3060000;LC;LC;Orioles
A338;Lanius collurio;N;2600000;3780000;6990000;LC;LC;Shrikes
A339;Lanius minor;N;486000;82800;167000;LC;LC;Shrikes
A340;Lanius excubitor;N;576000;54500;122000;VU;VU;Shrikes
A341;Lanius senator;N;597000;1890000;2990000;NT;LC;Shrikes
A342;Garrulus glandarius;N;3220000;4130000;7080000;LC;LC;Crows and jays
A343;Pica pica;N;3540000;6900000;10800000;LC;LC;Crows and jays
A344;Nucifraga caryocatactes;N;658000;133000;284000;LC;LC;Crows and jays
A345;Pyrrhocorax graculus;N;143000;41700;84600;LC;LC;Crows and jays
A346;Pyrrhocorax pyrrhocorax;N;260000;22600;25800;LC;LC;Crows and jays
A347;Corvus monedula;N;2300000;5440000;9460000;LC;LC;Crows and jays
A348;Corvus frugilegus;N;822000;2770000;5330000;LC;LC;Crows and jays
