datasetb;;;
country;speciescode;speciesname;nationally_hunted
HR;A348;Corvus frugilegus;Yes
LT;A348;Corvus frugilegus;Yes
SE;A348;Corvus frugilegus;Yes
BG;A348;Corvus frugilegus;Yes
EE;A348;Corvus frugilegus;Yes
SK;A348;Corvus frugilegus;Yes
UK;A348;Corvus frugilegus;No
HU;A348;Corvus frugilegus;No
RO;A348;Corvus frugilegus;Yes
GR;A349;Corvus corone;No
FI;A349;Corvus corone;Yes
FR;A349;Corvus corone;Yes
HR;A349;Corvus corone;Yes
IT;A349;Corvus corone;Yes
LT;A349;Corvus corone;Yes
EE;A349;Corvus corone;Yes
ES;A349;Corvus corone;Yes
SK;A349;Corvus corone;Yes
UK;A349;Corvus corone;No
HU;A349;Corvus corone;Yes
RO;A349;Corvus corone;Yes
BE;A349;Corvus corone;Yes
BG;A349;Corvus corone;Yes
