speciescode;speciesname;keywintering;distribution_surface_area;population_minimum_size;population_maximum_size;red_list_cat;conclusion_status_label;red_list_cat_prev;conclusion_status_label_prev;taxFamily_en;country;nationally_hunted;Risk_Country
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Estonia;Yes;Considerable
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Spain;Yes;Considerable
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;United Kingdom;No;Alarming
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Austria;Yes;Considerable
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Belgium;No;Alarming
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Belgium;No;Alarming
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Belgium;No;Alarming
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Bulgaria;Yes;Considerable
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Cyprus;Yes;Few
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Poland;No;High
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Poland;No;High
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Portugal;No;Considerable
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Slovenia;No;Considerable
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Slovenia;No;Considerable
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Slovakia;No;Considerable
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Netherlands;No;High
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Portugal;Yes;Considerable
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Sweden;No;Alarming
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Sweden;No;Alarming
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Sweden;No;Alarming
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Poland;No;High
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Italy;Yes;Considerable
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Lithuania;No;Considerable
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Lithuania;No;Considerable
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Latvia;Yes;High
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Malta;Yes;Few
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Netherlands;No;High
A058;Netta rufina;N;124000;11600.0;15500.0;LC;Secure;LC;Secure;Ducks, geese and swans;France;Yes;High
A058;Netta rufina;N;124000;11600.0;15500.0;LC;Secure;LC;Secure;Ducks, geese and swans;Spain;Yes;Considerable
A058;Netta rufina;N;124000;11600.0;15500.0;LC;Secure;LC;Secure;Ducks, geese and swans;Spain;Yes;Considerable
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Greece;Yes;Considerable
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Finland;Yes;High
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;France;Yes;High
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Croatia;Yes;High
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Croatia;Yes;High
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Croatia;Yes;High
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;United Kingdom;Yes;Alarming
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Hungary;No;Considerable
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Hungary;No;Considerable
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Romania;Yes;Considerable
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Denmark;Yes;Alarming
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Estonia;Yes;Considerable
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Spain;Yes;Considerable
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Spain;Yes;Considerable
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Slovakia;Yes;Considerable
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;United Kingdom;No;Alarming
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Bulgaria;No;Considerable
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Bulgaria;No;Considerable
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Bulgaria;No;Considerable
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Cyprus;Yes;Few
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Czech Republic;Yes;Considerable
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Germany;Yes;High
A059;Aythya ferina;N;383000;46100.0;71400.0;VU;Threatened;VU;Threatened;Ducks, geese and swans;Poland;Yes;High
